Date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum,covidOccupiedMVBeds,hospitalCases,newAdmissions,cumAdmissions,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
2020-04-18,400,23096,0,0,0,0,30.7,12408,992,3993,283,17070,118,4554
2020-04-19,395,23491,0,0,0,0,29.1,12425,991,4021,290,17360,116,4670
2020-04-20,433,23924,0,0,0,0,27.4,12943,1019,3940,308,17668,97,4767
2020-04-21,463,24387,0,0,0,0,25.1,13426,972,3922,288,17956,105,4872
2020-04-22,397,24784,0,0,0,0,23.1,13812,927,3768,225,18181,110,4982
2020-04-23,521,25305,0,0,0,0,21.3,15149,897,3510,266,18447,80,5062
2020-04-24,378,25683,0,0,0,0,19.1,15704,836,3281,171,18618,75,5137
2020-04-25,333,26016,0,0,0,0,17.9,16083,868,3198,137,18755,58,5195
2020-04-26,311,26327,0,0,0,0,16.1,17120,831,3115,187,18942,62,5257
2020-04-27,418,26745,0,0,0,0,13.9,19928,800,3117,261,19203,54,5311
2020-04-28,313,27058,0,0,0,0,11.7,22736,755,2794,248,19451,58,5369
2020-04-29,428,27486,0,0,0,0,9.4,29587,733,2811,212,19663,52,5421
2020-04-30,424,27910,0,0,0,0,7.2,36567,723,2703,183,19846,45,5466
2020-05-01,354,28264,0,0,0,0,6.2,42872,712,2596,201,20047,42,5508
2020-05-02,247,28511,0,0,0,0,5.7,47186,678,2432,150,20197,52,5560
2020-05-03,169,28680,0,0,0,0,5.4,50145,638,2390,157,20354,43,5603
2020-05-04,249,28929,0,0,0,0,4.9,50836,587,2328,169,20523,37,5640
2020-05-05,217,29146,0,0,0,0,4.6,51366,565,2270,178,20701,34,5674
2020-05-06,266,29412,0,0,0,0,4.3,50540,580,2154,216,20917,43,5717
2020-05-07,273,29685,0,0,0,0,4.2,48969,565,2086,202,21119,28,5745
2020-05-08,207,29892,0,0,0,0,4.2,46543,531,1955,99,21218,30,5775
2020-05-09,128,30020,0,0,0,0,4.1,44750,516,1971,85,21303,25,5800
2020-05-10,125,30145,0,0,0,0,3.9,44898,466,1889,86,21389,27,5827
2020-05-11,161,30306,0,0,0,0,3.7,46454,457,1880,91,21480,23,5850
2020-05-12,194,30500,0,0,0,0,3.6,48937,425,1827,80,21560,15,5865
2020-05-13,204,30704,0,0,0,0,3.4,49255,413,1777,91,21651,12,5877
2020-05-14,158,30862,0,0,0,0,3.1,47970,395,1667,91,21742,17,5894
2020-05-15,132,30994,0,0,0,0,3,48661,405,1625,77,21819,18,5912
2020-05-16,72,31066,0,0,0,0,2.9,48923,384,1552,59,21878,10,5922
2020-05-17,78,31144,0,0,0,0,2.8,48631,374,1454,51,21929,14,5936
2020-05-18,113,31257,0,0,0,0,2.6,48595,349,1496,74,22003,13,5949
2020-05-19,129,31386,0,0,0,0,2.4,48883,333,1390,89,22092,20,5969
2020-05-20,142,31528,0,0,0,0,2.3,49104,313,1247,71,22163,16,5985
2020-05-21,156,31684,0,0,0,0,2.2,50304,307,1224,76,22239,12,5997
2020-05-22,81,31765,0,0,0,0,2.1,50850,287,1240,77,22316,8,6005
2020-05-23,65,31830,0,0,0,0,2.1,50908,272,1165,43,22359,6,6011
2020-05-24,52,31882,0,0,0,0,2,50877,271,1160,41,22400,6,6017
2020-05-25,58,31940,0,0,0,0,1.9,48550,276,1174,49,22449,9,6026
2020-05-26,66,32006,0,0,0,0,1.9,46248,268,1144,67,22516,11,6037
2020-05-27,84,32090,0,0,0,0,1.8,45131,228,1091,69,22585,8,6045
2020-05-28,75,32165,0,0,0,0,1.6,44073,222,1029,57,22642,9,6054
2020-05-29,56,32221,0,0,0,0,1.6,43307,207,1002,51,22693,5,6059
2020-05-30,39,32260,0,0,0,0,1.5,43195,213,915,30,22723,7,6066
2020-05-31,38,32298,0,0,0,0,1.4,43123,197,891,42,22765,5,6071
2020-06-01,50,32348,0,0,0,0,1.4,45699,170,862,48,22813,5,6076
2020-06-02,49,32397,0,0,0,0,1.3,46843,159,855,51,22864,7,6083
2020-06-03,79,32476,0,0,0,0,1.2,47610,148,813,68,22932,6,6089
2020-06-04,58,32534,0,0,0,0,1.1,48563,139,795,58,22990,6,6095
2020-06-05,45,32579,0,0,0,0,1.1,50436,137,783,50,23040,2,6097
2020-06-06,47,32626,0,0,0,0,1.1,51561,140,707,46,23086,3,6100
2020-06-07,45,32671,0,0,0,0,1.1,52282,134,691,56,23142,5,6105
2020-06-08,57,32728,0,0,0,0,1,52964,134,701,69,23211,8,6113
2020-06-09,71,32799,0,0,0,0,1,54832,129,707,35,23246,2,6115
2020-06-10,52,32851,0,0,0,0,0.9,55651,115,675,41,23287,5,6120
2020-06-11,47,32898,0,0,0,0,0.9,55755,100,620,32,23319,5,6125
2020-06-12,54,32952,0,0,0,0,0.9,55161,100,568,30,23349,5,6130
2020-06-13,39,32991,0,0,0,0,0.9,54788,100,540,20,23369,1,6131
2020-06-14,31,33022,0,0,0,0,0.8,54664,100,531,22,23391,2,6133
2020-06-15,41,33063,0,0,0,0,0.8,54453,98,503,49,23440,3,6136
2020-06-16,46,33109,0,0,0,0,0.8,52532,97,539,56,23496,1,6137
2020-06-17,43,33152,0,0,0,0,0.8,51231,84,508,56,23552,1,6138
2020-06-18,46,33198,0,0,0,0,0.8,50488,83,494,50,23602,0,6138
2020-06-19,37,33235,0,0,0,0,0.8,50080,72,466,47,23649,2,6140
2020-06-20,29,33264,0,0,0,0,0.8,49418,71,466,19,23668,2,6142
2020-06-21,27,33291,0,0,0,0,0.7,49078,69,446,25,23693,2,6144
2020-06-22,51,33342,0,0,0,0,0.8,48587,75,453,60,23753,3,6147
2020-06-23,50,33392,0,0,0,0,0.8,48527,80,452,69,23822,0,6147
2020-06-24,46,33438,0,0,0,0,0.8,48940,77,477,51,23873,4,6151
2020-06-25,57,33495,0,0,0,0,0.8,49364,67,439,47,23920,1,6152
2020-06-26,48,33543,0,0,0,0,0.8,50688,67,423,39,23959,0,6152
2020-06-27,32,33575,0,0,0,0,0.8,51586,62,408,29,23988,0,6152
2020-06-28,22,33597,0,0,0,0,0.7,52506,63,392,18,24006,1,6153
2020-06-29,58,33655,0,0,0,0,0.7,56619,62,398,20,24026,1,6154
2020-06-30,52,33707,0,0,0,0,0.7,59527,66,386,28,24054,1,6155
2020-07-01,42,33749,0,0,0,0,0.6,62725,59,334,53,24107,1,6156
2020-07-02,40,33789,0,0,0,0,0.6,65525,54,320,27,24134,2,6158
2020-07-03,38,33827,0,0,0,0,0.6,66893,51,316,20,24154,1,6159
2020-07-04,32,33859,0,0,0,0,0.5,67631,51,293,16,24170,1,6160
2020-07-05,51,33910,0,0,0,0,0.6,67916,47,288,23,24193,3,6163
2020-07-06,54,33964,0,0,0,0,0.6,68012,52,291,30,24223,2,6165
2020-07-07,60,34024,0,0,0,0,0.6,69251,48,284,26,24249,1,6166
2020-07-08,57,34081,0,0,0,0,0.6,71096,45,269,30,24279,3,6169
2020-07-09,55,34136,0,0,0,0,0.6,72763,45,265,27,24306,2,6171
2020-07-10,40,34176,0,0,0,0,0.6,74385,39,255,26,24332,0,6171
2020-07-11,19,34195,0,0,0,0,0.6,74635,38,206,17,24349,3,6174
2020-07-12,38,34233,0,0,0,0,0.5,75372,37,247,16,24365,1,6175
2020-07-13,85,34318,0,0,0,0,0.6,77844,34,247,18,24383,1,6176
2020-07-14,62,34380,0,0,0,0,0.5,79419,35,229,19,24402,0,6176
2020-07-15,76,34456,0,0,0,0,0.5,81823,30,212,22,24424,1,6177
2020-07-16,70,34526,0,0,0,0,0.6,83850,28,191,24,24448,0,6177
2020-07-17,48,34574,0,0,0,0,0.6,85715,29,187,18,24466,2,6179
2020-07-18,47,34621,0,0,0,0,0.6,87146,29,179,5,24471,0,6179
2020-07-19,41,34662,0,0,0,0,0.6,88469,32,179,7,24478,0,6179
2020-07-20,98,34760,0,0,0,0,0.6,88712,30,180,14,24492,0,6179
2020-07-21,81,34841,0,0,0,0,0.6,89162,29,175,11,24503,0,6179
2020-07-22,80,34921,0,0,0,0,0.6,88036,25,173,11,24514,0,6179
2020-07-23,70,34991,0,0,0,0,0.6,87736,25,165,14,24528,2,6181
2020-07-24,83,35074,0,0,0,0,0.6,88604,21,147,15,24543,0,6181
2020-07-25,56,35130,0,0,0,0,0.6,89678,17,108,5,24548,0,6181
2020-07-26,65,35195,0,0,0,0,0.7,90209,18,139,9,24557,0,6181
2020-07-27,100,35295,0,0,0,0,0.6,93074,19,133,10,24567,1,6182
2020-07-28,100,35395,0,0,0,0,0.7,93922,17,127,7,24574,0,6182
2020-07-29,99,35494,0,0,0,0,0.7,96587,17,131,11,24585,0,6182
2020-07-30,102,35596,0,0,0,0,0.7,99299,19,134,5,24590,0,6182
2020-07-31,73,35669,0,0,0,0,0.7,100334,18,128,2,24592,2,6184
2020-08-01,58,35727,0,0,0,0,0.7,101270,16,126,5,24597,2,6186
2020-08-02,75,35802,0,0,0,0,0.7,102136,15,120,10,24607,1,6187
2020-08-03,88,35890,0,0,0,0,0.7,101979,17,122,2,24609,0,6187
2020-08-04,105,35995,0,0,0,0,0.7,101284,15,118,5,24614,0,6187
2020-08-05,113,36108,0,0,0,0,0.7,101390,13,111,12,24626,0,6187
2020-08-06,105,36213,0,0,0,0,0.7,101625,11,113,7,24633,0,6187
2020-08-07,121,36334,0,0,0,0,0.8,103113,10,105,7,24640,0,6187
2020-08-08,55,36389,0,0,0,0,0.8,102613,10,126,2,24642,1,6188
2020-08-09,67,36456,0,0,0,0,0.8,101205,12,107,10,24652,0,6188
2020-08-10,143,36599,0,0,0,0,0.8,102538,12,107,9,24661,1,6189
2020-08-11,149,36748,0,0,0,0,0.8,104112,13,105,18,24679,1,6190
2020-08-12,161,36909,0,0,0,0,0.9,104747,17,111,5,24684,0,6190
2020-08-13,124,37033,0,0,0,0,0.9,105302,15,104,9,24693,2,6192
2020-08-14,126,37159,0,0,0,0,0.9,106875,15,103,8,24701,0,6192
2020-08-15,107,37266,0,0,0,0,1,108836,15,100,4,24705,0,6192
2020-08-16,88,37354,0,0,0,0,1,110127,19,100,7,24712,0,6192
2020-08-17,189,37543,0,0,0,0,1,112585,19,107,2,24714,2,6194
2020-08-18,181,37724,0,0,0,0,1,114673,19,98,6,24720,1,6195
2020-08-19,153,37877,0,0,0,0,1,119195,15,90,7,24727,0,6195
2020-08-20,204,38081,0,0,0,0,1,123963,15,89,6,24733,1,6196
2020-08-21,167,38248,0,0,0,0,1,128330,16,84,5,24738,0,6196
2020-08-22,119,38367,0,0,0,0,1,129374,18,79,3,24741,1,6197
2020-08-23,145,38512,0,0,0,0,1.1,129925,20,84,8,24749,0,6197
2020-08-24,195,38707,0,0,0,0,1.1,130795,15,85,6,24755,0,6197
2020-08-25,170,38877,0,0,0,0,1.1,131555,16,81,9,24764,1,6198
2020-08-26,165,39042,0,0,0,0,1.1,130602,16,83,5,24769,0,6198
2020-08-27,229,39271,0,0,0,0,1.1,127654,16,86,5,24774,0,6198
2020-08-28,220,39491,0,0,0,0,1.2,124933,12,82,11,24785,0,6198
2020-08-29,139,39630,0,0,0,0,1.2,124660,15,73,6,24791,0,6198
2020-08-30,133,39763,0,0,0,0,1.2,124669,13,78,6,24797,0,6198
2020-08-31,216,39979,0,0,0,0,1.3,116246,14,81,6,24803,1,6199
2020-09-01,314,40293,0,0,0,0,1.4,119209,14,88,6,24809,0,6199
2020-09-02,333,40626,0,0,0,0,1.5,120633,13,84,11,24820,1,6200
2020-09-03,347,40973,0,0,0,0,1.6,123805,12,87,15,24835,1,6201
2020-09-04,356,41329,0,0,0,0,1.6,127791,12,86,11,24846,0,6201
2020-09-05,272,41601,0,0,0,0,1.7,130060,11,90,23,24869,0,6201
2020-09-06,203,41804,0,0,0,0,1.7,130267,13,87,12,24881,2,6203
2020-09-07,463,42267,0,0,0,0,1.8,140673,13,98,5,24886,0,6203
2020-09-08,343,42610,0,0,0,0,1.8,137999,15,100,11,24897,0,6203
2020-09-09,345,42955,0,0,0,0,1.9,136759,16,96,17,24914,0,6203
2020-09-10,391,43346,0,0,0,0,1.9,136810,14,98,19,24933,2,6205
2020-09-11,333,43679,0,0,0,0,1.9,137600,15,115,13,24946,3,6208
2020-09-12,229,43908,0,0,0,0,1.8,136928,12,98,19,24965,0,6208
2020-09-13,114,44022,0,0,0,0,1.8,135401,16,100,23,24988,0,6208
2020-09-14,296,44318,0,0,0,0,1.7,131680,21,123,31,25019,0,6208
2020-09-15,269,44587,0,0,0,0,1.6,131624,26,136,26,25045,1,6209
2020-09-16,292,44879,0,0,0,0,1.6,131954,26,137,25,25070,2,6211
2020-09-17,323,45202,0,0,0,0,1.6,130545,25,147,28,25098,4,6215
2020-09-18,387,45589,0,0,0,0,1.6,130404,25,150,41,25139,1,6216
2020-09-19,338,45927,0,0,0,0,1.7,130373,32,161,32,25171,3,6219
2020-09-20,409,46336,0,0,0,0,1.9,134030,32,171,38,25209,4,6223
2020-09-21,427,46763,0,0,0,0,1.9,136007,31,190,44,25253,4,6227
2020-09-22,521,47284,0,0,0,0,2.1,138438,37,210,35,25288,6,6233
2020-09-23,657,47941,0,0,0,0,2.3,141939,35,210,36,25324,7,6240
2020-09-24,598,48539,0,0,0,0,2.4,146351,40,219,47,25371,2,6242
2020-09-25,603,49142,0,0,0,0,2.5,150115,47,230,36,25407,1,6243
2020-09-26,548,49690,0,0,0,0,2.6,153586,38,200,28,25435,1,6244
2020-09-27,529,50219,0,0,0,0,2.7,155197,48,224,23,25458,1,6245
2020-09-28,746,50965,0,0,0,0,2.9,157976,48,267,28,25486,5,6250
2020-09-29,705,51670,0,0,0,0,3,157294,50,275,36,25522,9,6259
2020-09-30,993,52663,0,0,0,0,3.2,159283,49,278,31,25553,6,6265
2020-10-01,1077,53740,0,0,0,0,3.4,162547,49,275,50,25603,5,6270
2020-10-02,1039,54779,0,0,0,0,3.6,165877,56,276,37,25640,3,6273
2020-10-03,792,55571,0,0,0,0,3.8,168256,56,280,38,25678,2,6275
2020-10-04,825,56396,0,0,0,0,3.9,168937,50,287,27,25705,2,6277
2020-10-05,1296,57692,0,0,0,0,4.2,171555,56,326,47,25752,9,6286
2020-10-06,1178,58870,0,0,0,0,4.4,174475,60,320,43,25795,5,6291
2020-10-07,1419,60289,0,0,0,0,4.6,178147,59,350,46,25841,6,6297
2020-10-08,1487,61776,0,0,0,0,4.7,182252,51,343,39,25880,5,6302
2020-10-09,1351,63127,0,0,0,0,4.8,184163,50,348,55,25935,7,6309
2020-10-10,877,64004,0,0,0,0,4.9,182570,52,341,51,25986,5,6314
2020-10-11,743,64747,0,0,0,0,4.9,181198,57,365,50,26036,4,6318
2020-10-12,1576,66323,0,0,0,0,5.1,181962,65,389,69,26105,6,6324
2020-10-13,1430,67753,0,0,0,0,5.2,182442,66,442,73,26178,5,6329
2020-10-14,1623,69376,0,0,0,0,5.3,182360,77,430,76,26254,4,6333
2020-10-15,1720,71096,0,0,0,0,5.5,183522,78,439,78,26332,12,6345
2020-10-16,1656,72752,0,0,0,0,5.6,185958,80,490,67,26399,7,6352
2020-10-17,1107,73859,0,0,0,0,5.7,187266,83,502,87,26486,4,6356
2020-10-18,1297,75156,0,0,0,0,5.9,189751,87,542,95,26581,6,6362
2020-10-19,2337,77493,0,0,0,0,6.2,193147,89,594,90,26671,11,6373
2020-10-20,2319,79812,0,0,0,0,6.6,195603,88,610,89,26760,7,6380
2020-10-21,2348,82160,0,0,0,0,6.9,198340,90,633,114,26874,15,6395
2020-10-22,2170,84330,0,0,0,0,7.1,198845,81,606,108,26982,11,6406
2020-10-23,2004,86334,0,0,0,0,7.3,199883,99,698,125,27107,6,6412
2020-10-24,1435,87769,0,0,0,0,7.4,201506,98,722,108,27215,18,6430
2020-10-25,1291,89060,0,0,0,0,7.4,200971,111,762,118,27333,11,6441
2020-10-26,2526,91586,0,0,0,0,7.7,198196,117,815,155,27488,12,6453
2020-10-27,2085,93671,0,0,0,0,7.7,193932,119,889,109,27597,14,6467
2020-10-28,1969,95640,0,0,0,0,7.7,190738,124,933,112,27709,21,6488
2020-10-29,2009,97649,0,0,0,0,7.1,211184,131,921,140,27849,12,6500
2020-10-30,1869,99518,0,0,0,0,6.6,232848,134,945,126,27975,14,6514
2020-10-31,1385,100903,0,0,0,0,6.3,248254,132,963,132,28107,8,6522
2020-11-01,1203,102106,0,0,0,0,6.2,260488,136,1032,134,28241,17,6539
2020-11-02,2913,105019,0,0,0,0,5.9,294506,142,1067,136,28377,18,6557
2020-11-03,2126,107145,0,0,0,0,5.6,314841,147,1111,103,28480,13,6570
2020-11-04,2046,109191,0,0,0,0,5.5,327399,151,1132,123,28603,16,6586
2020-11-05,2089,111280,0,0,0,0,5.6,316507,154,1102,118,28721,15,6601
2020-11-06,2114,113394,0,0,0,0,5.7,307252,155,1085,101,28822,16,6617
2020-11-07,1648,115042,0,0,0,0,5.8,302440,156,1108,109,28931,23,6640
2020-11-08,1755,116797,0,0,0,0,5.9,300019,167,1114,150,29081,19,6659
2020-11-09,3074,119871,0,0,0,0,6.6,265460,179,1210,136,29217,28,6687
2020-11-10,2721,122592,0,0,0,0,7.3,244955,179,1211,147,29364,15,6702
2020-11-11,2906,125498,0,0,0,0,7.9,235756,181,1223,134,29498,12,6714
2020-11-12,2835,128333,0,0,0,0,8.4,229382,178,1269,152,29650,20,6734
2020-11-13,2692,131025,0,0,0,0,9,222511,194,1298,136,29786,13,6747
2020-11-14,1919,132944,0,0,0,0,9.3,214868,202,1357,139,29925,20,6767
2020-11-15,1793,134737,0,0,0,0,9.6,208009,214,1390,170,30095,19,6786
2020-11-16,3072,137809,0,0,0,0,9.6,209152,209,1474,154,30249,30,6816
2020-11-17,2555,140364,0,0,0,0,9.5,209499,218,1520,152,30401,30,6846
2020-11-18,2452,142816,0,0,0,0,9.4,207664,220,1519,179,30580,20,6866
2020-11-19,2179,144995,0,0,0,0,9.2,206967,222,1551,173,30753,27,6893
2020-11-20,2106,147101,0,0,0,0,8.9,206310,233,1576,116,30869,28,6921
2020-11-21,1477,148578,0,0,0,0,8.7,207199,251,1591,165,31034,19,6940
2020-11-22,1479,150057,0,0,0,0,8.5,207877,248,1605,145,31179,29,6969
2020-11-23,2384,152441,0,0,0,0,8.3,205398,252,1675,147,31326,18,6987
2020-11-24,2150,154591,0,0,0,0,8.1,204342,253,1626,131,31457,30,7017
2020-11-25,2235,156826,0,0,0,0,7.9,206686,261,1611,200,31657,38,7055
2020-11-26,2063,158889,0,0,0,0,7.7,208907,251,1643,155,31812,29,7084
2020-11-27,2192,161081,0,0,0,0,7.7,209923,267,1674,124,31936,21,7105
2020-11-28,1638,162719,0,0,0,0,7.7,210731,248,1635,107,32043,33,7138
2020-11-29,1650,164369,0,0,0,0,7.7,211940,260,1663,154,32197,48,7186
2020-11-30,2685,167054,0,0,0,0,7.8,211747,253,1677,146,32343,26,7212
2020-12-01,2455,169509,0,0,0,0,7.9,211692,259,1701,160,32503,22,7234
2020-12-02,2793,172302,0,0,0,0,8.1,214404,256,1637,162,32665,28,7262
2020-12-03,2450,174752,0,0,0,0,8.2,216471,256,1685,156,32821,34,7296
2020-12-04,2910,177662,0,0,0,0,8.4,220655,249,1659,170,32991,33,7329
2020-12-05,2238,179900,0,0,0,0,8.6,222590,238,1710,141,33132,27,7356
2020-12-06,2420,182320,0,0,0,0,8.8,224979,242,1766,179,33311,27,7383
2020-12-07,3705,186025,0,0,0,0,9.2,227332,244,1822,210,33521,34,7417
2020-12-08,3694,189719,573,573,127,127,9.6,231124,249,1849,203,33724,34,7451
2020-12-09,4403,194122,900,1473,127,127,10,237483,241,1787,248,33972,30,7481
2020-12-10,4989,199111,1445,2918,127,127,10.6,249105,256,1934,235,34207,28,7509
2020-12-11,5466,204577,1447,4365,127,127,11,262419,261,2031,277,34484,27,7536
2020-12-12,4655,209232,875,5240,127,127,11.4,274632,256,2092,246,34730,41,7577
2020-12-13,5491,214723,43,5283,127,127,12,289691,256,2212,287,35017,29,7606
2020-12-14,8312,223035,1399,6682,127,127,12.7,311495,262,2330,292,35309,37,7643
2020-12-15,8812,231847,4931,11613,127,127,13.4,334233,292,2482,332,35641,45,7688
2020-12-16,9960,241807,11329,22942,127,127,14,360961,291,2543,252,35893,30,7718
2020-12-17,10135,251942,11767,34709,127,127,14.5,388012,301,2607,366,36259,61,7779
2020-12-18,10772,262714,10384,45093,127,127,14.8,417370,311,2726,357,36616,43,7822
2020-12-19,7143,269857,7076,52169,127,127,14.9,432546,322,2909,404,37020,47,7869
2020-12-20,8879,278736,9018,61187,127,127,14.9,453328,355,3067,413,37433,52,7921
2020-12-21,13220,291956,7703,68890,127,127,15.2,477611,378,3367,505,37938,63,7984
2020-12-22,13318,305274,7018,75908,127,127,15.7,493766,400,3559,508,38446,75,8059
2020-12-23,12312,317586,6127,82035,127,127,16.2,493908,411,3578,511,38957,69,8128
2020-12-24,9406,326992,2286,84321,127,127,16.9,468836,462,3966,492,39449,65,8193
2020-12-25,4322,331314,195,84516,127,127,17.7,411622,455,4019,578,40027,88,8281
2020-12-26,11861,343175,823,85339,127,127,19.6,398994,489,4276,607,40634,93,8374
2020-12-27,13123,356298,998,86337,127,127,21.6,384173,520,4591,629,41263,103,8477
2020-12-28,10667,366965,1095,87432,127,127,24.1,334296,556,4957,739,42002,102,8579
2020-12-29,19865,386830,7077,94509,254,254,26.6,329362,599,5371,679,42681,109,8688
2020-12-30,17298,404128,14962,109471,324,578,27.7,336681,640,5524,681,43362,124,8812
2020-12-31,12391,416519,12414,121885,323,901,27.8,347997,664,5685,708,44070,129,8941
2021-01-01,6737,423256,2961,124846,17,918,27.5,361314,657,5511,796,44866,135,9076
2021-01-02,13623,436879,3018,127864,134,1052,26.5,382085,713,5861,828,45694,146,9222
2021-01-03,13106,449985,844,128708,93,1145,26.3,386130,772,6358,865,46559,136,9358
2021-01-04,17217,467202,4507,133215,715,1860,26.2,414153,814,6733,830,47389,160,9518
2021-01-05,14528,481730,10013,143228,3734,5594,25.8,401845,866,6816,913,48302,177,9695
2021-01-06,13535,495265,14748,157976,8925,14519,25.7,388825,908,7034,977,49279,160,9855
2021-01-07,12054,507319,21581,179557,10737,25256,25.1,397154,961,7231,820,50099,186,10041
2021-01-08,10514,517833,26589,206146,9405,34661,24.3,426094,1015,7277,813,50912,175,10216
2021-01-09,8727,526560,17972,224118,5953,40614,23.9,412487,1020,7224,832,51744,179,10395
2021-01-10,7462,534022,11474,235592,5137,45751,23.1,401746,1044,7494,734,52478,192,10587
2021-01-11,11535,545557,13497,249089,3325,49076,22.5,387320,1073,7799,795,53273,184,10771
2021-01-12,9820,555377,18400,267489,2560,51636,21.8,376697,1085,7606,875,54148,192,10963
2021-01-13,9308,564685,30898,298387,1956,53592,21.4,363948,1138,7686,804,54952,198,11161
2021-01-14,8912,573597,39458,337845,1320,54912,21.2,352715,1163,7840,763,55715,196,11357
2021-01-15,8181,581778,40642,378487,744,55656,21.1,343715,1184,7811,670,56385,183,11540
2021-01-16,6160,587938,30024,408511,275,55931,20.9,334232,1206,7571,758,57143,198,11738
2021-01-17,5381,593319,16883,425394,101,56032,20.7,327159,1203,7707,652,57795,207,11945
2021-01-18,8292,601611,16077,441471,197,56229,20.5,316300,1220,7917,704,58499,202,12147
2021-01-19,6993,608604,34591,476062,358,56587,20.2,306890,1207,7711,742,59241,206,12353
2021-01-20,6237,614841,39739,515801,634,57221,19.7,298638,1208,7588,660,59901,185,12538
2021-01-21,5784,620625,38434,554235,813,58034,18.9,292987,1217,7332,598,60499,183,12721
2021-01-22,5563,626188,47680,601915,104,58138,18.3,287938,1219,7298,580,61079,160,12881
2021-01-23,4143,630331,44903,646818,121,58259,17.8,283619,1217,7044,520,61599,158,13039
